WORDS,SYNONYM,SYNONYM
abate,moderate,decrease
adhere,comply,observe
acumen,awareness,brilliance
abortive,vain,unproductive
accord,agreement,harmony
acrimony,harshness,bitterness
adamant,stubborn,inflexible
allure,entice,fascinate
brittle,crisp,breakable
batty,insane,silly
blunt,dull,insensitive
capable,competent,able
chaste,pure,virtuous
consent,agree,permit
contradict,deny,oppose
concur,agree,approve
confident,bold,undaunted
dense,opaque,piled
feeble,weak,frail
genuine,absolute,factual
insipid,tasteless,vapid
juvenile,young,tender
justify,defend,exculpate
lavish,abundant,excessive
lure,entice,attrract
malice,grudge,vengefulness
molest,harass,tease
modest,humble,courteous
novice,beginner,tyro
obvious,evident,apparent
ordain,order,impose
squalid,dirty,filthy
sterile,barren,unproductive
taboo,ban,prohibit
tenacious,stubborn,dodge
altercation,wrangle,rumble
antagonise,anger,offend
amiss,awry,haywire
banter,crosstalk,wisecracks
bemused,distracted,absorbed
bequest,endowment,devisal
begotry,bias,injustice
blithe,carefree,jaunty
boisterous,clamorous,vociferate
brouhaha,fracas,to-do
buoyed,bolster,cheer
cachet,prestige,stature
captivate,beguile,gratify
churlish,rude,uncivilised
cohort,companion,comrade
colloquy,parley,conference
colossal,enormous,immense
convulse,torment,disturb
covenant,promise,convention
coveted,choose,fancy
culminating,crowning,supreme
deceit,fraud,duplicity
deference,compliance,obedience
detrimental,harmful,hurtful
dialetic,analytic,persuasive
dilapidate,destroy,deform
dilatory,lax,procrastinating
diligent,active,assiduous
discerning,astute,knowing
dispensation,favour,indulgence
dissident,discordant,heterodox
edifice,monument,building
efficacy,capability,adequacy
egregious,deplorable,atrocious
elfish,naughty,elfin
emblematic,figurative,typical
encomium,accolade,eulogy
engulf,bury,consume
enormity,evil,depravity
entente,accord,deal
epiphany,flash,oracle
erudite,literate,knowledgeable
espouse,adopt,maintain
exasperate,agitate,disturb
exigent,insistent,needful
expats,exile,expatriate
exuberance,sprit,zest
fabrication,forgery,fable
farcical,comical,funny
fauxpas,slip,abuse
fidgety,jittery,apprehensive
fissure,hole,cleavage
gesticulate,indicate,pantomime
gloom,despair,sadness
gory,horrible,imbrued
grandeur,brilliance,magnificence
grim,gloomy,cruel
gruff,blunt,nasty
gullible,naive,innocent
heckle,ridicule,taunt
hoodwink,dupe,outwit
hurled,fire,toss
hustings,catafalgue,emplacement
ignominious,humiliating,embarassing
imbibe,assimilate,absorb
implacable,cruel,unforgiving
impounded,captured,confiscated
inception,outset,provenance
incessant,ceaseless,nonstop
inchoate,amorphous,immature
inclement,brutal,foul
indefatigable,Dogged,Diligent 
Inebriated ,Bombed,Boozy
Inflict ,Levy,Apply
Insinuate,Suggest ,Allude
Intrepid,Brave,Nervy 
Jab,Poke,Thrust 
Jargon,Slang,Ardot
Jaunt,Trip,Journey 
Jeopardize,Risk,Gamble 
Knack,Aptitude,Bent
Labyrinthine,Twisting,Maze like 
Laconic,Brief,Economical
Legion,Myriad,Countless
Lenity,Altruism,Compassion
Martinet,Disciplinarian,Tyrant
Menage,Ancestors ,Folk
Meticulous,Careful,Accurate 
Nigardly,Tight,Narrow
Nigh,Nearly ,Adjacent 
Nonplussed,Astonish,Baffle
Obnoxious,Offensive ,Repulsive
